,Sentence,Result
2947,"Replies the to , including status information , updates to parameters commands on information provide archives , etc .","[Useful Class, Useful Use Case, Not Useful Activity]"
2948,"Observing commands ( whether entered interactively or via the Sequencer ) are input data that available conﬁguration , Gemini and applies to the following conditions ( where ) appropriate on any subsystem : ; Observing ; Stand ) test and , test levels ; Modes and control .","[Useful Class, Useful Use Case, Useful Activity]"
2949,"Normal operation is possible at all operation levels ( observing , maintenance - and by Maintenance been taken ( i.e. sum of all exposure have times available time for exposures ) .","[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
2950,To improve over exposures which during and testing .,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
2951,Performance .,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
2952,Overall performance of the Gemini telescope is deﬁned as the percentage of viewable time ; the maintenance operation Automatic operation .,"[Not Useful Class, Useful Use Case, Useful Activity]"
2953,This is the normal mode catalogs of .,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
2954,"The observation is performed through a preplanned operation star and , system operates via a sequence of commands .","[Not Useful Class, Useful Use Case, Useful Activity]"
2955,"This operation is complemented by using previously stored data , calibrations program at requiring or to enter interactive operation from automatic operation to possible handle conditions .","[Not Useful Class, Useful Use Case, Useful Activity]"
2956,This is the normal mode of exceptional is,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
2957,Is . no interaction with the observer ; Interactive operation .,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
2958,"Science planning and program changes are accomplished through interactive operation little ( line on , multipoint monitoring , remote monitoring , remote instruments access testing , development , diagnostics , and maintenance for and , enclosure it support a full implementation of remote operations .","[Not Useful Class, Useful Use Case, Useful Activity]"
2959,"This includes remote observing , remote control of telescope , , that It expected bandwidth considerations .","[Not Useful Class, Useful Use Case, Not Useful Activity]"
2960,"This means the video data WAN signals be encoded digitally and transferred via the WAN must from resulting performance that all operational capability found in on site operations is extended to remote operations , with some degradation in is to is telescope available in memory ; There is to be is a and logical ( i.e. name based ) access consistent information critical access 3 msec per access ; Asynchronous writes are to be supported , allowing for concurrent operation ; Time - method operation ; database based on EPICS .","[Useful Class, Not Useful Use Case, Not Useful Activity]"
2961,The implementation within the be host is TBD .,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
2962,A fundamental criteria of Gemini workstation to is database must support both remote access and distributed data .,"[Useful Class, Not Useful Use Case, Not Useful Activity]"
2963,The internal ( within the IOC ) implementation of this The remote sites . ;,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
2964,Star catalogs are available in Astronomical object ) catalogs external software ) ; Telescope and instrument parameters ( software external ( data store holds astronomical data for the current observation ; Astronomical data are automatically stored onto the Archive medium are line distributed databases - loading to the IOCs .,"[Useful Class, Useful Use Case, Not Useful Activity]"
2965,( developed down software ; All additional data that is not required ) for databases these across the IOCs for those systems .,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
2966,There is also a central repository maintained by the OCS that holds in - on,"[Useful Class, Not Useful Use Case, Not Useful Activity]"
2967,"The e.g. Hale Pohaku or Hilo in Hawaii , ( Cerro in Chile , etc . )","[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
2968,The various Tololo sites remote speciﬁc,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
2969,"There must be some form of security to control access to system features , possibly restricting some operations to types of data were the data types is presented here , along with a description of the different databases that are available . for this locations","[Useful Class, Useful Use Case, Not Useful Activity]"
2970,Final presented earlier .,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
2971,"This section examines the input , output , and interrelationships of the various data types . storage performance , all equipment and in event sequence .","[Useful Class, Not Useful Use Case, Not Useful Activity]"
2972,"There should in be available to extract error ( and other ) tools both , source the time - stamp , error logging should provide enough information to trace the condition back to its apparent logging","[Useful Class, Useful Use Case, Not Useful Activity]"
2973,"Besides information subsystem result from failures to successfully complete commands ,","[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
2974,Errors while represent asynchronous failures .,"[Not Useful Class, Useful Use Case, Useful Activity]"
2975,"Note that an error alarms . errors from component , time- sequence , previous events , and so on .","[Useful Class, Not Useful Use Case, Useful Activity]"
